index , Longitude, Latitude,hour,DBSCAN,HAC,K-Means,Satellite Number
443,230.1114868,-0.803737866,13,0,3,0,858
444,248.9303418,-0.850768565,12,0,3,0,35496
445,206.136239,14.39818824,11,0,3,1,16275
446,258.7723181,15.14563738,5,0,3,0,21792
447,151.2736007,2.095682522,9,0,0,1,18350
448,227.6791377,5.366127368,9,0,3,0,26378
449,153.2414281,-11.40436875,4,0,0,1,18350
450,178.6607992,11.4878852,7,0,0,1,14160
451,195.13681,9.761507826,14,0,3,1,22096
452,246.8725194,-0.202479818,10,0,3,0,40946
453,219.8282776,13.00446393,7,0,3,1,10061
454,233.732147,-12.70714337,15,0,3,0,11841
455,222.6391263,0.905134434,7,0,3,1,23864
456,254.2258585,-13.63467963,16,0,3,0,13631
457,156.9863502,0.509566992,12,0,0,1,24916
458,235.0966234,0.035016532,8,0,3,0,33275
459,246.4404329,-12.36673498,16,0,3,0,20394
460,218.8462005,-5.905940517,15,0,3,1,38702
461,211.8513636,-0.464715271,4,0,3,1,19772
462,191.7903972,14.19041137,11,0,0,1,17705
463,243.1025736,13.96398244,7,0,3,0,13643
464,190.4832204,7.81315261,11,0,0,1,23176
465,195.339024,13.24354276,7,0,3,1,11153
466,171.7800845,-4.563681872,5,0,0,1,25258
467,154.0036824,0.036473258,15,0,0,1,41471
468,222.3668789,6.553813887,4,0,3,1,15560
469,254.9810926,-5.006874449,14,0,3,0,3029
470,229.6179686,3.915600391,13,0,3,0,23124
471,243.1738888,6.282171899,5,0,3,0,22175
472,198.6274132,-3.200063708,5,0,3,1,36359
473,194.7610682,22.59872934,4,0,3,1,41590
474,223.9412324,13.93896991,9,0,3,0,22910
475,198.2956584,3.322167866,10,0,3,1,36359
476,249.44122,4.308684795,5,0,3,0,28218
477,198.2157311,-2.594794774,4,0,3,1,23775
478,213.6311684,0.324850265,6,0,3,1,24931
479,182.4081032,3.381636573,10,0,0,1,38093
480,213.1220531,4.708374186,14,0,3,1,20926
481,176.5616549,13.55077622,11,0,0,1,10855
482,224.6943602,-0.082800399,6,0,3,0,38104
483,158.3229942,4.739725799,8,0,0,1,14786
484,253.2783855,4.650599335,4,0,3,0,21989
485,199.2649993,11.65770446,13,0,3,1,15235
486,246.9728199,9.994863674,10,0,3,0,13595
487,235.1160036,0.036100662,5,0,3,0,33275
488,191.7728195,-2.589328895,13,0,0,1,30797
489,206.6466847,9.526068365,7,0,3,1,23524
490,216.4401907,6.073816814,7,0,3,1,21814
491,257.8828729,-5.965723361,15,0,3,0,22911
492,224.6061216,0.861112818,9,0,3,0,38104
493,150.6518448,12.8415331,16,0,0,1,18350
494,161.3913832,6.86106241,12,0,0,1,23413
495,180.6106376,-2.919049334,4,0,0,1,25473
496,241.1729281,-0.024928132,14,0,3,0,27378
497,196.8092711,6.776074416,6,0,3,1,16101
498,201.2192636,16.07492959,9,0,3,1,15219
499,248.8342373,0.026214154,6,0,3,0,29643
500,239.2078123,2.434036892,15,0,3,0,28234
501,224.9841511,0.012878152,11,0,3,0,28154
502,234.5704175,-3.530935879,12,0,3,0,12545
503,246.4416567,-0.897980572,4,0,3,0,29676
504,212.9810124,-2.9705497,4,0,3,1,24931
505,239.1142864,13.44279488,6,0,3,0,19876
506,233.1865727,15.15736247,7,0,3,0,18631
507,177.9559272,5.619241254,14,0,0,1,14160
508,186.8421316,6.595798164,14,0,0,1,13878
509,179.9878568,-2.525713316,6,0,0,1,25473
510,163.6682075,-0.753292022,8,0,0,1,2652
511,154.0240348,-0.002275938,10,0,0,1,41471
512,249.1223124,13.57192603,4,0,3,0,5775
513,166.3197317,1.128576196,14,0,0,1,3287
514,171.5200997,4.685982821,14,0,0,1,11728
515,236.6795538,-0.651267188,15,0,3,0,26246
516,177.9963345,2.399692126,13,0,0,1,24674
517,246.7489157,-6.41637597,15,0,3,0,40946
518,240.363215,12.42074335,4,0,3,0,15139
519,244.4302642,14.97060973,5,0,3,0,14248
520,225.5168663,0.024988098,10,0,3,0,2639
521,150.9775716,4.040514666,16,0,0,1,29516
522,250.1911667,11.48959752,10,0,3,0,21989
523,201.2150635,15.99535926,9,0,3,1,15219
524,231.1585964,0.026990443,6,0,3,0,33453
525,203.4970462,-1.615326541,13,0,3,1,33513
526,237.2598817,-12.10661141,16,0,3,0,22266
527,183.517499,16.22942518,14,0,0,1,10637
528,234.8600605,-10.80854909,17,0,3,0,21135
529,248.9143495,-1.575062905,13,0,3,0,35496
530,181.9452085,0.504155597,8,0,0,1,40990
531,220.9802287,0.040813092,10,0,3,1,26639
532,239.2786021,14.93175974,9,0,3,0,19876
533,219.3986593,-3.233349754,4,0,3,1,29642
534,192.9277959,1.255008742,4,0,0,1,13083
535,174.5205019,-10.4308723,3,0,0,1,25611
536,213.2305374,3.101448186,8,0,3,1,23598
537,243.9267339,-9.454222653,13,0,3,0,17873
538,251.149282,10.95389963,7,0,3,0,26738
539,255.2249969,-3.190359116,10,0,3,0,41622
540,222.7634044,-4.161895672,15,0,3,1,15560
541,219.5839033,2.378451951,8,0,3,1,29642
542,229.7729404,-13.60800148,17,0,3,0,6796
543,161.9666129,3.516763183,10,0,0,1,23413
544,243.8226565,12.70021043,4,0,3,0,13637
545,183.7629009,11.99201243,8,0,0,1,21641
546,185.6613905,3.446171428,11,0,0,1,27566
547,240.1952837,4.722752639,6,0,3,0,28234
548,248.9181415,-2.627864714,15,0,3,0,35496
549,156.6231255,-1.429001683,9,0,0,1,23200
550,239.5242291,-13.27506711,16,0,3,0,13643
551,192.606484,14.26679193,12,0,0,1,21639
552,176.7356309,0.201001993,13,0,0,1,24700
553,252.6211689,4.285051087,4,0,3,0,26738
554,179.4140521,-8.976853429,5,0,0,1,20402
555,247.880183,-12.0392992,14,0,3,0,5775
556,241.2633783,0.025243754,12,0,3,0,31102
557,176.9860034,-2.000209155,6,0,0,1,37737
558,220.3935335,0.972097715,9,0,3,1,38698
559,233.4303714,24.29439882,4,0,3,0,41582
560,199.7363864,-3.071990197,4,0,3,1,26720
561,162.0118916,-0.055557134,4,0,0,1,26095
562,176.8886699,3.788317476,9,0,0,1,20402
563,157.5989265,1.418052337,15,0,0,1,30323
564,225.3009009,0.077665003,5,0,3,0,36411
565,222.9603886,15.10603497,10,0,3,1,18877
566,252.9821576,8.829437629,5,0,3,0,41622
567,204.0418691,7.872957111,4,0,3,1,8476
568,157.9822041,0.938840918,14,0,0,1,30323
569,150.4578212,-3.063023405,4,0,0,1,10002
570,168.973824,0.019766135,14,0,0,1,25371
571,210.5082587,9.418448035,7,0,3,1,19772
572,172.563651,-0.195191534,6,0,0,1,15629
573,194.3757105,-2.600521013,13,0,0,1,30797
574,180.391117,23.26119212,5,0,0,1,10637
575,155.5758604,2.687886532,8,0,0,1,17706
576,214.609372,11.11873463,10,0,3,1,21814
577,209.6353338,13.38607713,12,0,3,1,21140
578,245.2655756,5.968118056,5,0,3,0,3431
579,253.4408323,9.322323125,4,0,3,0,5587
580,204.1862044,4.487865489,11,0,3,1,23686
581,191.7003642,-1.129081789,6,0,0,1,23176
582,254.0470909,-7.737961695,14,0,3,0,13069
583,245.3173536,-4.083835027,13,0,3,0,16214
584,205.0789721,9.019269021,13,0,3,1,21139
585,250.8081537,0.123089535,7,0,3,0,25949
586,184.5624353,16.40701811,11,0,0,1,21641
587,203.8178282,-2.143140178,4,0,3,1,23589
588,200.1161226,11.42856135,12,0,3,1,21894
589,239.6533963,5.144807474,6,0,3,0,23943
590,214.5310607,11.16218989,11,0,3,1,21814
591,185.7882713,8.423335302,11,0,0,1,22117
592,229.3624337,0.759730558,15,0,3,0,2654
593,224.2165338,12.30214862,11,0,3,0,19683
594,170.3257726,11.19892685,11,0,0,1,6974
595,233.7577582,11.75721406,5,0,3,0,21536
